Time,I
2.438,14.860167798641628
2.439,14.862165401518176
2.44,14.864163004394724
2.441,14.866160607271272
2.442,14.86815821014782
2.443,14.87015581302437
2.444,14.872153415900918
2.445,14.874151018777466
2.446,14.876148621654014
2.447,14.878146224530562
2.448,14.88014382740711
2.449,14.882141430283658
2.45,14.884139033160206
2.451,14.886136636036754
2.452,14.888134238913302
2.453,14.89013184178985
2.454,14.8921294446664
2.455,14.894127047542948
2.456,14.896124650419496
2.457,14.898122253296044
2.458,14.90011985617259
2.459,14.90211745904914
2.46,14.904115061925689
2.461,14.906112664802237
2.462,14.908110267678785
2.463,14.910107870555333
2.464,14.91210547343188
2.465,14.914103076308429
2.466,14.916100679184977
2.467,14.918098282061525
2.468,14.920095884938071
2.469,14.92209348781462
2.47,14.924091090691167
2.471,14.926088693567715
2.472,14.928086296444263
2.473,14.930083899320811
2.474,14.93208150219736
2.475,14.93407910507391
2.476,14.936076707950455
2.477,14.938074310827004
2.478,14.940071913703552
2.479,14.942069516580103
2.48,14.944067119456651
2.481,14.9460647223332
2.482,14.948062325209747
2.483,14.950059928086295
2.484,14.952057530962843
2.485,14.954055133839391
2.486,14.95605273671594
2.487,14.958050339592488
2.488,14.960047942469036
2.489,14.962045545345584
2.49,14.964043148222132
2.491,14.96604075109868
2.492,14.968038353975228
2.493,14.970035956851776
2.494,14.972033559728324
2.495,14.974031162604872
2.496,14.97602876548142
2.497,14.97802636835797
2.498,14.980023971234518
2.499,14.982021574111066
2.5,14.984019176987614
2.501,14.986016779864162
2.5020000000000002,14.98801438274071
2.503,14.990011985617258
2.504,14.992009588493806
2.505,14.994007191370354
2.5060000000000002,14.996004794246902
2.507,14.99800239712345
2.508,14.999999999999998
2.509,15.001997602876546
2.5100000000000002,15.003995205753094
2.511,15.005992808629642
2.512,15.00799041150619
2.513,15.009988014382738
2.5140000000000002,15.011985617259286
2.515,15.013983220135836
2.516,15.015980823012384
2.517,15.017978425888932
2.5180000000000002,15.01997602876548
2.519,15.021973631642028
2.52,15.023971234518577
2.521,15.025968837395125
2.5220000000000002,15.027966440271673
2.523,15.02996404314822
2.524,15.031961646024769
2.525,15.033959248901317
2.5260000000000002,15.035956851777865
2.527,15.037954454654413
2.528,15.03995205753096
2.529,15.041949660407507
2.5300000000000002,15.043947263284055
2.531,15.045944866160603
2.532,15.047942469037151
2.533,15.049940071913705
2.5340000000000003,15.051937674790253
2.535,15.0539352776668
2.536,15.055932880543349
2.537,15.057930483419897
2.5380000000000003,15.059928086296445
2.539,15.061925689172991
2.54,15.06392329204954
2.541,15.065920894926087
2.5420000000000003,15.067918497802635
2.543,15.069916100679183
2.544,15.071913703555731
2.545,15.07391130643228
2.5460000000000003,15.075908909308827
2.547,15.077906512185375
2.548,15.079904115061924
2.549,15.081901717938472
2.5500000000000003,15.08389932081502
2.551,15.08589692369157
2.552,15.087894526568116
2.553,15.089892129444666
2.5540000000000003,15.091889732321214
2.555,15.093887335197762
2.556,15.09588493807431
2.557,15.097882540950858
2.5580000000000003,15.099880143827406
2.559,15.101877746703954
2.56,15.103875349580502
2.561,15.10587295245705
2.562,15.107870555333598
2.563,15.109868158210146
2.564,15.111865761086694
2.565,15.113863363963242
2.566,15.11586096683979
2.567,15.117858569716338
2.568,15.119856172592886
2.569,15.121853775469436
2.57,15.123851378345984
2.571,15.125848981222532
2.572,15.12784658409908
2.573,15.129844186975628
2.574,15.131841789852176
2.575,15.133839392728724
2.576,15.135836995605272
2.577,15.13783459848182
2.578,15.139832201358368
2.579,15.141829804234916
2.58,15.143827407111464
2.581,15.145825009988013
2.582,15.14782261286456
2.583,15.149820215741109
2.584,15.151817818617657
2.585,15.153815421494205
2.586,15.155813024370753
2.587,15.157810627247304
2.588,15.15980823012385
2.589,15.1618058330004
2.59,15.163803435876948
2.591,15.165801038753496
2.592,15.167798641630045
2.593,15.16979624450659
2.594,15.17179384738314
2.595,15.173791450259689
2.596,15.175789053136237
2.597,15.177786656012785
2.598,15.179784258889333
2.599,15.18178186176588
2.6,15.183779464642427
2.601,15.185777067518975
2.602,15.187774670395523
2.603,15.189772273272071
2.604,15.19176987614862
2.605,15.193767479025167
2.606,15.195765081901715
2.607,15.197762684778263
2.608,15.199760287654811
2.609,15.20175789053136
2.61,15.20375549340791
2.611,15.205753096284456
2.612,15.207750699161004
2.613,15.209748302037552
2.614,15.211745904914102
2.615,15.21374350779065
2.616,15.215741110667198
2.617,15.217738713543746
2.618,15.219736316420294
2.619,15.221733919296842
2.62,15.22373152217339
2.621,15.225729125049938
2.622,15.227726727926486
2.623,15.229724330803036
2.624,15.231721933679584
2.625,15.233719536556132
2.626,15.23571713943268
2.6270000000000002,15.237714742309228
2.628,15.239712345185776
2.629,15.241709948062324
2.63,15.243707550938872
2.6310000000000002,15.24570515381542
2.632,15.247702756691968
2.633,15.249700359568516
2.634,15.251697962445064
2.6350000000000002,15.253695565321612
2.636,15.25569316819816
